#------------------------------------------------------------------------------
# Name: 	Swapnil Hande
# Project:	Page Ranking implementation
# Type:		Top 50 Page Ranks Sorted
# ------------------------------------------------------------------------------
1. Page: WT21-B37-76	Page Rank: 0.00267940942721444
2. Page: WT21-B37-75	Page Rank: 0.00152591664384278
3. Page: WT25-B39-116	Page Rank: 0.0014694947334659
4. Page: WT23-B21-53	Page Rank: 0.00137232346352102
5. Page: WT24-B40-171	Page Rank: 0.00124499876031047
6. Page: WT23-B39-340	Page Rank: 0.00124039688857484
7. Page: WT23-B37-134	Page Rank: 0.00120521538710836
8. Page: WT08-B18-400	Page Rank: 0.00114354071393058
9. Page: WT13-B06-284	Page Rank: 0.00112478051658497
10. Page: WT24-B26-46	Page Rank: 0.00108504566487656
11. Page: WT13-B06-273	Page Rank: 0.00104470011987022
12. Page: WT01-B18-225	Page Rank: 0.000988443620473862
13. Page: WT04-B27-720	Page Rank: 0.000936407190872338
14. Page: WT23-B19-156	Page Rank: 0.000894230435802518
15. Page: WT04-B30-12	Page Rank: 0.000816440717533425
16. Page: WT24-B26-10	Page Rank: 0.000807427556787341
17. Page: WT25-B15-307	Page Rank: 0.000804382203274151
18. Page: WT07-B18-256	Page Rank: 0.0007748821192033
19. Page: WT24-B26-2	Page Rank: 0.000771341334680121
20. Page: WT14-B03-220	Page Rank: 0.00071639202053762
21. Page: WT24-B40-167	Page Rank: 0.000707460242322882
22. Page: WT14-B03-227	Page Rank: 0.000684955311629661
23. Page: WT18-B31-240	Page Rank: 0.000660189316722133
24. Page: WT04-B40-202	Page Rank: 0.000658703105894228
25. Page: WT08-B19-222	Page Rank: 0.00064343231495861
26. Page: WT27-B28-203	Page Rank: 0.000627001289576655
27. Page: WT13-B15-160	Page Rank: 0.000621296493314816
28. Page: WT13-B39-295	Page Rank: 0.0006169603390482
29. Page: WT12-B30-56	Page Rank: 0.0006022901125241
30. Page: WT10-B02-288	Page Rank: 0.000575993247847515
31. Page: WT22-B38-403	Page Rank: 0.000574571815570082
32. Page: WT14-B36-337	Page Rank: 0.00055825716553846
33. Page: WT27-B34-57	Page Rank: 0.000555500012422483
34. Page: WT23-B20-363	Page Rank: 0.000550861767428837
35. Page: WT23-B01-40	Page Rank: 0.000550421216651907
36. Page: WT27-B32-30	Page Rank: 0.000549770722670652
37. Page: WT21-B40-37	Page Rank: 0.000548179855145263
38. Page: WT21-B35-155	Page Rank: 0.00054005251660546
39. Page: WT08-B08-60	Page Rank: 0.00053563636959712
40. Page: WT04-B22-268	Page Rank: 0.000532740370563856
41. Page: WT14-B02-400	Page Rank: 0.000532513318891769
42. Page: WT18-B14-66	Page Rank: 0.000532057814805983
43. Page: WT23-B27-31	Page Rank: 0.000525615792521037
44. Page: WT23-B38-120	Page Rank: 0.000520889108152966
45. Page: WT06-B35-151	Page Rank: 0.000520103886267509
46. Page: WT06-B14-69	Page Rank: 0.000519067021457089
47. Page: WT06-B35-161	Page Rank: 0.000518209158948931
48. Page: WT10-B33-300	Page Rank: 0.000516806605756447
49. Page: WT14-B36-335	Page Rank: 0.000515460414990039
50. Page: WT14-B36-336	Page Rank: 0.000515460414990039
